context,item_id,alternative_id,nudge_type,action,reward,algorithm,dwell_time_ms,is_exploration
"[0.5636363636363637, -0.5636363636363637, 0.17849462365591412, 0.3320610687022901, 1.0, 0.0, 0.0, 0.0, 1.0, 0.6505032987096852, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",185575,108839,N1,dismiss,0.0,ts,971,1
"[0.3636363636363637, -0.3636363636363637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.8742764353476687, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",123141,123174,N2,dismiss,-0.024999999999999998,ts,530,1
"[0.21428571428571425, -0.21428571428571425, -0.3609671848013817, 0.06333333333333334, 0.2727272727272727, 0.0, 0.0, 0.0, 1.0, 0.6439526760700992, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16725,130294,N3,dismiss,-0.049999999999999996,ts,2865,1
"[0.75, -0.75, -0.2602602602602602, 0.0165016501650165, -0.632, 0.0, 0.0, 0.0, 1.0, 0.7586760576708721, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",158417,140660,N4,dismiss,-0.075,ts,2632,1
"[0.14285714285714288, -0.14285714285714288, -0.16684045881126172, -0.4514285714285714, 0.29411764705882354, 0.0, 0.0, 0.0, 1.0, 0.5901301128303514, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",78003,139805,N5,dismiss,-0.09999999999999999,ts,426,1
"[0.12499999999999988, -0.12499999999999988, -0.12708498808578236, -0.23684210526315788, 0.10526315789473684, 0.0, 0.0, 0.0, 1.0, 0.6663745327697852, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",144703,180522,N6,accept,0.1614583333333333,ts,2131,1
"[0.08163265306122446, -0.08163265306122446, -0.17772215269086356, 0.002849002849002849, 0.08333333333333329, 0.0, 0.0, 0.0, 1.0, 0.696752543249875, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",105910,111012,N2,dismiss,-0.15,ts,869,1
"[0.625, -0.625, -0.5647058823529412, 1.0, 0.8333333333333334, 0.0, 0.0, 0.0, 1.0, 0.5294093864207301, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18437,107066,N6,accept,0.43020833333333336,ts,1793,1
"[0.5599999999999999, -0.5599999999999999, 0.0013342228152101116, 0.014035087719298246, 0.03571428571428559, 0.0, 0.0, 0.0, 1.0, 0.9064267245263649, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",104485,114138,N2,dismiss,-0.19999999999999998,ts,1478,1
"[0.16666666666666666, -0.16666666666666666, 0.21539500337609718, -0.26332288401253917, -0.6, 0.0, 0.0, 0.0, 1.0, 0.5749952659282267, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",128276,145577,N1,dismiss,-0.22499999999999998,ts,1622,1
"[0.20000000000000007, -0.20000000000000007, -0.13397860417727964, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.7758162558060495, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",90181,115238,N6,accept,0.36666666666666675,ts,2894,1
"[0.1666666666666667, -0.1666666666666667, -0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.7615251242159846, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",51616,61090,N3,dismiss,-0.27499999999999997,ts,2609,1
"[0.7647058823529411, -0.7647058823529411, -0.04260651629072671, 0.6370106761565836, 0.42857142857142855, 0.0, 0.0, 0.0, 1.0, 0.7434692842323926, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",60954,146668,N2,dismiss,-0.3,ts,1929,1
"[0.07692307692307684, -0.07692307692307684, -0.1872881355932203, 0.4411764705882353, -0.2916666666666667, 0.0, 0.0, 0.0, 1.0, 0.5620114161518501, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",92709,115240,N5,dismiss,-0.3,ts,1415,1
"[0.02631578947368412, -0.02631578947368412, -0.43, 0.019867549668874173, 0.0285714285714286, 0.0, 0.0, 0.0, 1.0, 0.6303211836867184, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41398,15200,N6,accept,0.3184210526315789,ts,486,0
